geo_accession,split,species
GSM1020215,TRAIN,HUMAN
GSM1060227,TRAIN,HUMAN
GSM1071282,TRAIN,HUMAN
GSM1084095,TRAIN,HUMAN
GSM1084100,TRAIN,HUMAN
GSM1085738,TRAIN,HUMAN
GSM1098572,TRAIN,HUMAN
GSM1100301,TRAIN,HUMAN
GSM1131340,TRAIN,HUMAN
GSM1133661,TRAIN,HUMAN
GSM1153512,TRAIN,HUMAN
GSM1155378,TRAIN,HUMAN
GSM1156809,TRAIN,HUMAN
GSM1156840,TRAIN,HUMAN
GSM1156889,TRAIN,HUMAN
GSM1156913,TRAIN,HUMAN
GSM1156930,TRAIN,HUMAN
GSM1156961,TRAIN,HUMAN
GSM1157004,TRAIN,HUMAN
GSM1157078,TRAIN,HUMAN
GSM1157211,TRAIN,HUMAN
GSM1157224,TRAIN,HUMAN
GSM1157233,TRAIN,HUMAN
GSM1157258,TRAIN,HUMAN
GSM1157265,TRAIN,HUMAN
GSM1157557,TRAIN,HUMAN
GSM1157637,TRAIN,HUMAN
GSM1157809,TRAIN,HUMAN
GSM1157963,TRAIN,HUMAN
GSM1158323,TRAIN,HUMAN
GSM1158360,TRAIN,HUMAN
GSM1158421,TRAIN,HUMAN
GSM1158469,TRAIN,HUMAN
GSM1166103,TRAIN,HUMAN
GSM1181985,TRAIN,HUMAN
GSM1183340,TRAIN,HUMAN
GSM1185614,TRAIN,HUMAN
GSM1186125,TRAIN,HUMAN
GSM1186135,TRAIN,HUMAN
GSM1197335,TRAIN,HUMAN
GSM1202523,TRAIN,HUMAN
GSM1202528,TRAIN,HUMAN
GSM1202568,TRAIN,HUMAN
GSM1202570,TRAIN,HUMAN
GSM1212188,TRAIN,HUMAN
GSM1216808,TRAIN,HUMAN
GSM1233282,TRAIN,HUMAN
GSM1234096,TRAIN,HUMAN
GSM1235120,TRAIN,HUMAN
GSM1235125,TRAIN,HUMAN
GSM1235128,TRAIN,HUMAN
GSM1239120,TRAIN,HUMAN
GSM1241140,TRAIN,HUMAN
GSM1257873,TRAIN,HUMAN
GSM1260499,TRAIN,HUMAN
GSM1260582,TRAIN,HUMAN
GSM1261037,TRAIN,HUMAN
GSM1262045,TRAIN,HUMAN
GSM1267812,TRAIN,HUMAN
GSM1267845,TRAIN,HUMAN
GSM1276850,TRAIN,HUMAN
GSM1276866,TRAIN,HUMAN
GSM1277663,TRAIN,HUMAN
GSM1282327,TRAIN,HUMAN
GSM1288872,TRAIN,HUMAN
GSM1289408,TRAIN,HUMAN
GSM1290218,TRAIN,HUMAN
GSM1297508,TRAIN,HUMAN
GSM1297587,TRAIN,HUMAN
GSM1297668,TRAIN,HUMAN
GSM1298381,TRAIN,HUMAN
GSM1317640,TRAIN,HUMAN
GSM1323649,TRAIN,HUMAN
GSM1323675,TRAIN,HUMAN
GSM1323736,TRAIN,HUMAN
GSM1323751,TRAIN,HUMAN
GSM1328161,TRAIN,HUMAN
GSM1334723,TRAIN,HUMAN
GSM1335743,TRAIN,HUMAN
GSM1338316,TRAIN,HUMAN
GSM1338337,TRAIN,HUMAN
GSM1338766,TRAIN,HUMAN
GSM1348227,TRAIN,HUMAN
GSM1357997,TRAIN,HUMAN
GSM1361998,TRAIN,HUMAN
GSM1373735,TRAIN,HUMAN
GSM1376084,TRAIN,HUMAN
GSM1380877,TRAIN,HUMAN
GSM1381236,TRAIN,HUMAN
GSM1384776,TRAIN,HUMAN
GSM1395367,TRAIN,HUMAN
GSM1396728,TRAIN,HUMAN
GSM1396740,TRAIN,HUMAN
GSM1399209,TRAIN,HUMAN
GSM1399412,TRAIN,HUMAN
GSM1401365,TRAIN,HUMAN
GSM1401671,TRAIN,HUMAN
GSM1407387,TRAIN,HUMAN
GSM1409349,TRAIN,HUMAN
GSM1412708,TRAIN,HUMAN
GSM1414491,TRAIN,HUMAN
GSM1414931,TRAIN,HUMAN
GSM1414948,TRAIN,HUMAN
GSM1415133,TRAIN,HUMAN
GSM1423452,TRAIN,HUMAN
GSM1432821,TRAIN,HUMAN
GSM1435820,TRAIN,HUMAN
GSM1440443,TRAIN,HUMAN
GSM1440459,TRAIN,HUMAN
GSM1440481,TRAIN,HUMAN
GSM1446860,TRAIN,HUMAN
GSM1447491,TRAIN,HUMAN
GSM1466907,TRAIN,HUMAN
GSM1467793,TRAIN,HUMAN
GSM1467799,TRAIN,HUMAN
GSM1467810,TRAIN,HUMAN
GSM1477604,TRAIN,HUMAN
GSM1480843,TRAIN,HUMAN
GSM1482490,TRAIN,HUMAN
GSM1482895,TRAIN,HUMAN
GSM1494409,TRAIN,HUMAN
GSM1495281,TRAIN,HUMAN
GSM1500851,TRAIN,HUMAN
GSM1505446,TRAIN,HUMAN
GSM1507934,TRAIN,HUMAN
GSM1513211,TRAIN,HUMAN
GSM1513904,TRAIN,HUMAN
GSM1520904,TRAIN,HUMAN
GSM1521600,TRAIN,HUMAN
GSM1522465,TRAIN,HUMAN
GSM1522498,TRAIN,HUMAN
GSM1522506,TRAIN,HUMAN
GSM1526680,TRAIN,HUMAN
GSM1527723,TRAIN,HUMAN
GSM1528204,TRAIN,HUMAN
GSM1528672,TRAIN,HUMAN
GSM1533632,TRAIN,HUMAN
GSM1537605,TRAIN,HUMAN
GSM1539023,TRAIN,HUMAN
GSM1540500,TRAIN,HUMAN
GSM1540600,TRAIN,HUMAN
GSM1541783,TRAIN,HUMAN
GSM1544124,TRAIN,HUMAN
GSM1546358,TRAIN,HUMAN
GSM1547893,TRAIN,HUMAN
GSM1548003,TRAIN,HUMAN
GSM1548049,TRAIN,HUMAN
GSM1548455,TRAIN,HUMAN
GSM1548466,TRAIN,HUMAN
GSM1550539,TRAIN,HUMAN
GSM1552789,TRAIN,HUMAN
GSM1553150,TRAIN,HUMAN
GSM1553160,TRAIN,HUMAN
GSM1556185,TRAIN,HUMAN
GSM1556373,TRAIN,HUMAN
GSM1556376,TRAIN,HUMAN
GSM1556984,TRAIN,HUMAN
GSM1557577,TRAIN,HUMAN
GSM1558073,TRAIN,HUMAN
GSM1560619,TRAIN,HUMAN
GSM1560624,TRAIN,HUMAN
GSM1564325,TRAIN,HUMAN
GSM1568798,TRAIN,HUMAN
GSM1574064,TRAIN,HUMAN
GSM1576391,TRAIN,HUMAN
GSM1576443,TRAIN,HUMAN
GSM1576445,TRAIN,HUMAN
GSM1579169,TRAIN,HUMAN
GSM1579185,TRAIN,HUMAN
GSM1579292,TRAIN,HUMAN
GSM1580662,TRAIN,HUMAN
GSM1581040,TRAIN,HUMAN
GSM1582577,TRAIN,HUMAN
GSM1587310,TRAIN,HUMAN
GSM1587315,TRAIN,HUMAN
GSM1587428,TRAIN,HUMAN
GSM1587500,TRAIN,HUMAN
GSM1588872,TRAIN,HUMAN
GSM1588875,TRAIN,HUMAN
GSM1588917,TRAIN,HUMAN
GSM1592571,TRAIN,HUMAN
GSM1595863,TRAIN,HUMAN
GSM1598445,TRAIN,HUMAN
GSM1598486,TRAIN,HUMAN
GSM1598658,TRAIN,HUMAN
GSM1598687,TRAIN,HUMAN
GSM1601814,TRAIN,HUMAN
GSM1602247,TRAIN,HUMAN
GSM1602266,TRAIN,HUMAN
GSM1608036,TRAIN,HUMAN
GSM1609432,TRAIN,HUMAN
GSM1612321,TRAIN,HUMAN
GSM1614084,TRAIN,HUMAN
GSM1617392,TRAIN,HUMAN
GSM1618311,TRAIN,HUMAN
GSM1619126,TRAIN,HUMAN
GSM1619128,TRAIN,HUMAN
GSM1619504,TRAIN,HUMAN
GSM1624883,TRAIN,HUMAN
GSM1626581,TRAIN,HUMAN
GSM1634326,TRAIN,HUMAN
GSM1636793,TRAIN,HUMAN
GSM1636813,TRAIN,HUMAN
GSM1636863,TRAIN,HUMAN
GSM1636890,TRAIN,HUMAN
GSM1636901,TRAIN,HUMAN
GSM1642283,TRAIN,HUMAN
GSM1642317,TRAIN,HUMAN
GSM1642328,TRAIN,HUMAN
GSM1642773,TRAIN,HUMAN
GSM1646695,TRAIN,HUMAN
GSM1647003,TRAIN,HUMAN
GSM1647069,TRAIN,HUMAN
GSM1648865,TRAIN,HUMAN
GSM1648881,TRAIN,HUMAN
GSM1649200,TRAIN,HUMAN
GSM1654309,TRAIN,HUMAN
GSM1655591,TRAIN,HUMAN
GSM1657079,TRAIN,HUMAN
GSM1658386,TRAIN,HUMAN
GSM1659004,TRAIN,HUMAN
GSM1668424,TRAIN,HUMAN
GSM1677849,TRAIN,HUMAN
GSM1679652,TRAIN,HUMAN
GSM1679656,TRAIN,HUMAN
GSM1679692,TRAIN,HUMAN
GSM1679704,TRAIN,HUMAN
GSM1694981,TRAIN,HUMAN
GSM1695259,TRAIN,HUMAN
GSM1698418,TRAIN,HUMAN
GSM1698476,TRAIN,HUMAN
